                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.386,                 2.0565,                  1.579,                0.14394,                0.04928,                0.05425,                0.00982,                 3.1205,                 6.7868,                 4.5206,               0.070213,              0.0033097,              0.0033097
                      2,                 1.3485,                 1.5482,                 1.5246,                0.33089,                0.22704,                0.06135,                0.01997,                 3.0465,                  7.658,                 3.5989,               0.040186,              0.0066167,              0.0066167
                      3,                 1.2989,                 1.4491,                 1.4912,                0.35431,                0.30326,                0.24056,                0.08488,                 2.8523,                  5.853,                  3.689,               0.010134,              0.0098973,              0.0098973
                      4,                 1.2527,                 1.3687,                  1.454,                0.58793,                 0.5358,                0.61159,                0.33516,                 1.7757,                 1.4387,                  2.418,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.1988,                 1.2822,                  1.418,                0.66923,                 0.6694,                0.64016,                0.37551,                 1.4302,                 1.3989,                 1.9285,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.1645,                 1.2182,                 1.3911,                0.67563,                0.75456,                0.77439,                0.41191,                 2.2388,                 1.3992,                 2.8995,               0.009802,               0.009802,               0.009802
                      7,                 1.1381,                 1.1887,                 1.3693,                0.68129,                0.84701,                0.82441,                0.53627,                 1.2985,                 1.1712,                 1.8166,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.1214,                 1.1582,                 1.3612,                0.77433,                0.79719,                0.81706,                0.48771,                 1.4228,                0.86603,                 2.0825,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.1082,                 1.1397,                 1.3529,                0.69421,                0.83317,                 0.8577,                0.51126,                  1.407,                0.87842,                 1.9521,              0.0096832,              0.0096832,              0.0096832
                     10,                  1.092,                 1.1101,                 1.3393,                0.77228,                0.81393,                0.88414,                0.50635,                 1.4796,                0.91354,                 2.0357,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.0833,                 1.0913,                 1.3352,                0.77194,                0.88293,                 0.8921,                0.60228,                 1.2493,                 1.7406,                 1.7235,               0.009604,               0.009604,               0.009604
                     12,                 1.0675,                 1.0723,                 1.3232,                  0.789,                0.87308,                0.90924,                 0.5189,                 1.5561,                 0.8549,                 2.2494,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.0566,                 1.0622,                 1.3185,                 0.8214,                0.87658,                0.92458,                0.52941,                 1.4928,                0.74402,                 2.1244,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.0559,                 1.0593,                 1.3168,                0.83024,                0.89557,                0.92377,                0.58669,                 1.2917,                0.70294,                 1.8268,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.0515,                 1.0464,                 1.3134,                 0.8746,                0.88319,                0.93099,                0.57399,                 1.4277,                0.80313,                 1.9915,              0.0094456,              0.0094456,              0.0094456
                     16,                  1.048,                 1.0534,                  1.311,                0.85474,                0.88434,                0.92812,                0.55026,                 1.4733,                0.72508,                 2.1087,               0.009406,               0.009406,               0.009406
                     17,                 1.0366,                 1.0118,                 1.3043,                0.81112,                0.86985,                0.93509,                0.58063,                 1.2917,                 0.7718,                 1.7823,              0.0093664,              0.0093664,              0.0093664
                     18,                 1.0289,                 1.0186,                 1.3002,                0.84572,                0.82481,                0.91019,                0.51717,                 1.5341,                 1.1402,                   2.15,              0.0093268,              0.0093268,              0.0093268
                     19,                 1.0186,                0.99985,                  1.293,                0.86418,                0.88214,                0.93039,                0.60553,                  1.212,                0.67959,                 1.6785,              0.0092872,              0.0092872,              0.0092872
                     20,                 1.0246,                 1.0041,                 1.3002,                 0.8212,                0.82442,                0.91079,                0.57869,                 1.3323,                0.81493,                 1.8101,              0.0092476,              0.0092476,              0.0092476
                     21,                 1.0144,                0.99326,                   1.29,                 0.8367,                0.92265,                0.93717,                0.63749,                 1.1731,                0.60334,                 1.6235,               0.009208,               0.009208,               0.009208
                     22,                 1.0114,                0.97472,                  1.289,                 0.8657,                0.90379,                 0.9487,                0.61547,                 1.2691,                0.62788,                 1.8343,              0.0091684,              0.0091684,              0.0091684
                     23,                 1.0157,                0.97817,                 1.2922,                0.85626,                0.89179,                0.92876,                0.61498,                 1.2445,                 0.6264,                 1.7437,              0.0091288,              0.0091288,              0.0091288
                     24,                 1.0159,                0.98253,                 1.2925,                0.90747,                0.92035,                0.91977,                0.58882,                 1.2679,                0.80405,                 1.7751,              0.0090892,              0.0090892,              0.0090892
                     25,                 1.0068,                0.97274,                 1.2854,                 0.9363,                0.89625,                0.95238,                0.64585,                 1.1557,                0.56117,                 1.6456,              0.0090496,              0.0090496,              0.0090496
